Hugo_Symbol,Feature_1,Feature_2,n_mutated_Feature1,n_mutated_Feature2,fdr
ESR1,REC,PT,6 of 67,4 of 77,0.752186787856942
KMT2D,PT,LNM,7 of 77,4 of 57,0.758487745756857
CYP2D6,PT,LNM,6 of 77,6 of 57,0.761012264093893
CYP2D6,REC,LNM,4 of 67,6 of 57,0.761012264093893
CYP2D6,REC,PT,4 of 67,6 of 77,0.761012264093893
POLD1,REC,LNM,4 of 67,6 of 57,0.765911805538487
NOTCH4,PT,LNM,4 of 77,5 of 57,0.771871571100929
NOTCH4,REC,PT,6 of 67,4 of 77,0.771871571100929
PDGFRB,REC,LNM,6 of 67,2 of 57,0.771871571100929
PDGFRB,REC,PT,6 of 67,4 of 77,0.771871571100929
NCOR1,PT,LNM,6 of 77,8 of 57,0.771902211997897
NCOR1,REC,LNM,7 of 67,8 of 57,0.771902211997897
NCOR1,REC,PT,7 of 67,6 of 77,0.771902211997897
AXIN1,PT,LNM,7 of 77,6 of 57,0.777173320005577
AXIN1,REC,LNM,4 of 67,6 of 57,0.777173320005577
AXIN1,REC,PT,4 of 67,7 of 77,0.777173320005577
GPR124,PT,LNM,7 of 77,6 of 57,0.777173320005577
NUTM1,PT,LNM,6 of 77,7 of 57,0.782413938717945
NUTM1,REC,LNM,7 of 67,7 of 57,0.782413938717945
NUTM1,REC,PT,7 of 67,6 of 77,0.782413938717945
POLD1,PT,LNM,10 of 77,6 of 57,0.790239504704187
MYO18A,PT,LNM,5 of 77,6 of 57,0.791086671507324
MYO18A,REC,LNM,4 of 67,6 of 57,0.791086671507324
PARP4,PT,LNM,12 of 77,6 of 57,0.814731922263556
PARP4,REC,LNM,9 of 67,6 of 57,0.814731922263556
PARP4,REC,PT,9 of 67,12 of 77,0.814731922263556
EP300,REC,LNM,8 of 67,4 of 57,0.81589878569464
EP300,REC,PT,8 of 67,5 of 77,0.81589878569464
PIK3C2B,PT,LNM,12 of 77,10 of 57,0.815913891494672
KMT2C,PT,LNM,11 of 77,7 of 57,0.817744411332442
KMT2C,REC,LNM,11 of 67,7 of 57,0.817744411332442
KMT2C,REC,PT,11 of 67,11 of 77,0.817744411332442
BRCA1,REC,LNM,7 of 67,3 of 57,0.821278940673852
BRCA1,REC,PT,7 of 67,5 of 77,0.821278940673852
RB1CC1,PT,LNM,1 of 77,2 of 57,0.861940298507463
RB1CC1,REC,PT,3 of 67,1 of 77,0.861940298507463
AXL,REC,LNM,1 of 67,2 of 57,0.935115603605265
AXL,REC,PT,1 of 67,3 of 77,0.935115603605265
C11orf30,REC,LNM,1 of 67,2 of 57,0.935115603605265
C11orf30,REC,PT,1 of 67,3 of 77,0.935115603605265
CSF2RB,REC,LNM,1 of 67,2 of 57,0.935115603605265
CSF2RB,REC,PT,1 of 67,3 of 77,0.935115603605265
IGF2,REC,LNM,1 of 67,2 of 57,0.935115603605265
IGF2,REC,PT,1 of 67,3 of 77,0.935115603605265
MDM4,REC,LNM,1 of 67,2 of 57,0.935115603605265
MDM4,REC,PT,1 of 67,3 of 77,0.935115603605265
PREX2,REC,LNM,1 of 67,2 of 57,0.935115603605265
PREX2,REC,PT,1 of 67,3 of 77,0.935115603605265
TGFB2,REC,LNM,1 of 67,2 of 57,0.935115603605265
TGFB2,REC,PT,1 of 67,3 of 77,0.935115603605265
CDH1,PT,LNM,4 of 77,1 of 57,0.935775250017295
CDH1,REC,LNM,3 of 67,1 of 57,0.935775250017295
DICER1,PT,LNM,4 of 77,1 of 57,0.935775250017295
